ride_segment_id,timestamp,prev_timestamp,operator_name,device_id,prev_zone_id,zone_id,prev_latitude,prev_longitude,latitude,longitude,interval_minutes,distance_m,speed_kmph,moved_50m_threshold_m,moved_200m_threshold_m,prev_battery_level,battery_level,battery_delta,moved_50m,moved_200m,same_zone,ride_distance_threshold_m,operator_move_speed_rule,operator_move_repeat_rule,operator_move_cluster_rule,operator_move_battery_rule,operator_move_flag,excluded_from_demand,operator_move_reason
1,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130094,grid_8120_22775,grid_8122_22776,36.475827,127.251706,36.480795,127.253415,5.05,573.1597898413352,6.809819285243586,50.0,200.0,60.0,58.0,-2.0,True,True,False,101.0,False,False,False,False,False,False,
2,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130196,grid_8123_22775,grid_8123_22775,36.486926,127.249301,36.488844,127.252304,5.05,342.8674822528454,4.07367305646945,50.0,200.0,78.0,77.0,-1.0,True,True,True,101.0,False,False,False,False,False,False,
3,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130226,grid_8123_22775,grid_8122_22775,36.486582,127.248464,36.484118,127.251844,5.05,407.89559181139344,4.846284259145269,50.0,200.0,49.0,47.0,-2.0,True,True,False,101.0,False,False,False,False,False,False,
4,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130306,grid_8130_22773,grid_8126_22772,36.516644,127.235915,36.499896,127.232123,5.05,1892.8799464147048,22.489662729679655,50.0,200.0,48.0,42.0,-6.0,True,True,False,101.0,False,False,False,False,False,False,
5,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130397,grid_8129_22775,grid_8126_22775,36.512094,127.248182,36.500248,127.251994,5.05,1360.5650922503946,16.16512980891558,50.0,200.0,46.0,42.0,-4.0,True,True,False,101.0,False,False,False,False,False,False,
6,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130409,grid_8129_22777,grid_8128_22777,36.514064,127.25895,36.509867,127.260544,5.05,487.9437344849132,5.79735130081085,50.0,200.0,46.0,43.0,-3.0,True,True,False,101.0,False,False,False,False,False,False,
7,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130458,grid_8129_22774,grid_8130_22774,36.513026,127.246001,36.516487,127.241484,5.05,557.726662481293,6.626455395817342,50.0,200.0,72.0,69.0,-3.0,True,True,False,101.0,False,False,False,False,False,False,
8,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130542,grid_8128_22775,grid_8128_22774,36.511376,127.251861,36.511017,127.242815,5.05,809.4429406277078,9.617143849042073,50.0,200.0,94.0,91.0,-3.0,True,True,False,101.0,False,False,False,False,False,False,
9,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130590,grid_8120_22776,grid_8121_22777,36.474703,127.254804,36.479859,127.261832,5.05,850.6228843163373,10.10641050672876,50.0,200.0,43.0,40.0,-3.0,True,True,False,101.0,False,False,False,False,False,False,
10,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130826,grid_8129_22774,grid_8128_22773,36.512623,127.245982,36.510877,127.239544,5.05,607.2444160070969,7.214785140678379,50.0,200.0,86.0,79.0,-7.0,True,True,False,101.0,False,False,False,False,False,False,
11,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130833,grid_8129_22774,grid_8128_22774,36.512604,127.245948,36.51179,127.241656,5.05,394.1135638547133,4.682537392333228,50.0,200.0,75.0,70.0,-5.0,True,True,False,101.0,False,False,False,False,False,False,
12,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130942,grid_8123_22775,grid_8123_22776,36.486943,127.249282,36.488169,127.256895,5.05,694.1147091211787,8.246907435103115,50.0,200.0,84.0,83.0,-1.0,True,True,False,101.0,False,False,False,False,False,False,
13,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,130978,grid_8122_22774,grid_8124_22776,36.483932,127.246057,36.491734,127.256593,5.05,1280.553764443129,15.214500171601534,50.0,200.0,78.0,78.0,0.0,True,True,False,101.0,False,False,False,False,False,False,
14,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,131070,grid_8122_22774,grid_8124_22776,36.48372,127.246061,36.49169,127.2566,5.05,1293.4789709397,15.368066981461784,50.0,200.0,61.0,61.0,0.0,True,True,False,101.0,False,False,False,False,False,False,
15,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,131163,grid_8122_22774,grid_8124_22776,36.484129,127.246061,36.491749,127.256611,5.05,1267.8606491330918,15.063690880789208,50.0,200.0,87.0,87.0,0.0,True,True,False,101.0,False,False,False,False,False,False,
16,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,131326,grid_8123_22775,grid_8122_22775,36.486393,127.248163,36.483957,127.252225,5.05,453.0445414806685,5.382707423532694,50.0,200.0,100.0,100.0,0.0,True,True,False,101.0,False,False,False,False,False,False,
17,2026-06-12T15:40:10+0900,2026-06-12T15:35:07+0900,GBIKE,131378,grid_8122_22774,grid_8124_22776,36.483861,127.246069,36.491756,127.256572,5.05,1285.4257405626615,15.272385036388055,50.0,200.0,76.0,76.0,0.0,True,True,False,101.0,False,False,False,False,False,False,
