ride_segment_id,timestamp,prev_timestamp,operator_name,device_id,prev_zone_id,zone_id,prev_latitude,prev_longitude,latitude,longitude,interval_minutes,distance_m,speed_kmph,prev_battery_level,battery_level,battery_delta,moved_50m,moved_200m,same_zone,operator_move_speed_rule,operator_move_repeat_rule,operator_move_cluster_rule,operator_move_battery_rule,operator_move_flag,excluded_from_demand,operator_move_reason
64,2026-06-12T15:50:24+0900,2026-06-12T15:45:11+0900,GBIKE,130249,grid_8124_22779,grid_8128_22774,36.491355,127.26953,36.508377,127.24253,5.216666666666667,3067.085024797552,35.27637728201656,45.0,33.0,-12.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
111,2026-06-12T15:55:09+0900,2026-06-12T15:50:24+0900,GBIKE,131020,grid_8132_22779,grid_8129_22774,36.528306,127.270129,36.511983,127.243933,4.75,2962.13340298642,37.41642193246004,55.0,45.0,-10.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
135,2026-06-12T16:00:20+0900,2026-06-12T15:55:09+0900,GBIKE,130586,grid_8129_22771,grid_8129_22777,36.515691,127.228251,36.515102,127.258811,5.183333333333334,2731.841557934454,31.622603242971177,70.0,58.0,-12.0,True,True,False,True,False,True,False,True,True,speed_gt_28kmh|same_od_time_cluster_2plus
136,2026-06-12T16:00:20+0900,2026-06-12T15:55:09+0900,GBIKE,130625,grid_8129_22771,grid_8129_22777,36.516032,127.228204,36.515136,127.258744,5.183333333333334,2731.080293359232,31.61379117714867,99.0,93.0,-6.0,True,True,False,True,False,True,False,True,True,speed_gt_28kmh|same_od_time_cluster_2plus
143,2026-06-12T16:00:20+0900,2026-06-12T15:55:09+0900,GBIKE,131178,grid_8126_22775,grid_8124_22779,36.502306,127.24898,36.491786,127.26949,5.183333333333334,2174.751450488095,25.17397177413872,66.0,58.0,-8.0,True,True,False,False,False,True,False,True,True,same_od_time_cluster_2plus
146,2026-06-12T16:00:20+0900,2026-06-12T15:55:09+0900,GBIKE,131937,grid_8126_22775,grid_8124_22779,36.502318,127.249003,36.491602,127.269524,5.183333333333334,2187.377677327298,25.32012745459252,95.0,83.0,-12.0,True,True,False,False,False,True,False,True,True,same_od_time_cluster_2plus
147,2026-06-12T16:00:20+0900,2026-06-12T15:55:09+0900,GBIKE,131969,grid_8131_22772,grid_8128_22777,36.521715,127.233347,36.50834,127.261352,5.183333333333334,2911.2788550234677,33.69969092631666,86.0,77.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
158,2026-06-12T16:05:09+0900,2026-06-12T16:00:20+0900,GBIKE,130145,grid_8132_22777,grid_8131_22772,36.528406,127.262734,36.522206,127.234283,4.816666666666666,2634.074429124867,32.8119998091679,86.0,74.0,-12.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
164,2026-06-12T16:05:09+0900,2026-06-12T16:00:20+0900,GBIKE,130510,grid_8130_22774,grid_8125_22774,36.519205,127.242906,36.498223,127.245012,4.816666666666666,2340.6721315598998,29.157161500400136,63.0,55.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
171,2026-06-12T16:05:09+0900,2026-06-12T16:00:20+0900,GBIKE,131285,grid_8128_22778,grid_8128_22774,36.509749,127.26773,36.510824,127.242314,4.816666666666666,2274.645340243595,28.334682439020565,66.0,55.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
189,2026-06-12T16:10:19+0900,2026-06-12T16:05:09+0900,GBIKE,130443,grid_8130_22771,grid_8129_22777,36.517947,127.229893,36.514507,127.259262,5.166666666666667,2652.3193307351794,30.80112771176337,52.0,38.0,-14.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
264,2026-06-12T16:25:04+0900,2026-06-12T16:20:14+0900,GBIKE,130568,grid_8127_22775,grid_8121_22782,36.503607,127.246959,36.478602,127.288281,4.833333333333333,4623.4507857163535,57.39456147785818,80.0,54.0,-26.0,True,True,False,True,False,False,True,True,True,speed_gt_28kmh|fast_battery_delta_abs_ge_20pp
295,2026-06-12T16:35:09+0900,2026-06-12T16:30:12+0900,GBIKE,131014,grid_8128_22775,grid_8122_22775,36.507482,127.249578,36.482275,127.250334,4.95,2803.7050873652265,33.98430408927547,85.0,74.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
323,2026-06-12T16:40:12+0900,2026-06-12T16:35:09+0900,GBIKE,131665,grid_8128_22774,grid_8124_22777,36.50756,127.241519,36.491621,127.260586,5.05,2458.8298156976334,29.21381959244713,100.0,96.0,-4.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
325,2026-06-12T16:40:12+0900,2026-06-12T16:35:09+0900,GBIKE,131888,grid_8124_22776,grid_8128_22774,36.492874,127.257094,36.511825,127.243992,5.05,2410.8011061771617,28.64318145953064,43.0,36.0,-7.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
338,2026-06-12T16:45:15+0900,2026-06-12T16:40:12+0900,GBIKE,130601,grid_8129_22771,grid_8125_22778,36.513201,127.229619,36.497857,127.26398,5.05,3513.244107314733,41.741514146313655,78.0,70.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
349,2026-06-12T16:45:15+0900,2026-06-12T16:40:12+0900,GBIKE,130942,grid_8124_22776,grid_8128_22771,36.490487,127.256341,36.5116,127.229773,5.05,3339.2973492551987,39.67481999115088,82.0,71.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
373,2026-06-12T16:50:05+0900,2026-06-12T16:45:15+0900,GBIKE,130442,grid_8119_22779,grid_8123_22776,36.469014,127.274174,36.488018,127.257417,4.833333333333333,2590.387829712751,32.1565385757445,100.0,99.0,-1.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
415,2026-06-12T16:55:06+0900,2026-06-12T16:50:05+0900,GBIKE,131456,grid_8128_22775,grid_8133_22778,36.511725,127.248482,36.530561,127.265309,5.016666666666667,2578.3347334560367,30.83722604797918,95.0,82.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
439,2026-06-12T17:00:08+0900,2026-06-12T16:55:06+0900,GBIKE,130774,grid_8130_22773,grid_8133_22778,36.52034,127.23985,36.532462,127.265265,5.033333333333333,2640.8362353249213,31.480167043608336,89.0,76.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
471,2026-06-12T17:05:13+0900,2026-06-12T17:00:08+0900,GBIKE,130949,grid_8130_22774,grid_8126_22776,36.51857,127.241918,36.499676,127.255928,5.083333333333333,2445.749455071324,28.86786242051399,78.0,71.0,-7.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
483,2026-06-12T17:10:05+0900,2026-06-12T17:05:13+0900,GBIKE,130213,grid_8129_22775,grid_8123_22776,36.512069,127.247868,36.486535,127.257712,4.866666666666666,2972.47248988886,36.64692110821883,81.0,73.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
514,2026-06-12T17:15:09+0900,2026-06-12T17:10:05+0900,GBIKE,131983,grid_8129_22776,grid_8124_22774,36.514877,127.257453,36.489831,127.246328,5.066666666666666,2957.184797832887,35.01929365854735,59.0,51.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
551,2026-06-12T17:25:13+0900,2026-06-12T17:20:06+0900,GBIKE,131403,grid_8127_22777,grid_8122_22775,36.505255,127.259538,36.484216,127.251987,5.116666666666666,2434.860414354566,28.552109093408596,56.0,47.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
554,2026-06-12T17:25:13+0900,2026-06-12T17:20:06+0900,GBIKE,131572,grid_8130_22774,grid_8123_22778,36.517377,127.241856,36.487491,127.266312,5.116666666666666,3977.655312333424,46.64351506319324,95.0,83.0,-12.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
566,2026-06-12T17:30:15+0900,2026-06-12T17:25:13+0900,GBIKE,130205,grid_8127_22777,grid_8133_22778,36.50724,127.26331,36.533689,127.266048,5.033333333333333,2951.1545485811803,35.17932574467632,43.0,30.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
569,2026-06-12T17:30:15+0900,2026-06-12T17:25:13+0900,GBIKE,130512,grid_8130_22774,grid_8126_22776,36.51852,127.241874,36.499923,127.256335,5.033333333333333,2438.56061643778,29.06893450058281,55.0,42.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
576,2026-06-12T17:30:15+0900,2026-06-12T17:25:13+0900,GBIKE,131507,grid_8131_22772,grid_8129_22777,36.522496,127.232405,36.515118,127.258838,5.033333333333333,2500.545821893995,29.80783098946484,79.0,73.0,-6.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
591,2026-06-12T17:35:11+0900,2026-06-12T17:30:15+0900,GBIKE,130263,grid_8123_22785,grid_8119_22781,36.485072,127.303915,36.46923,127.280602,4.933333333333334,2729.0950473842595,33.191696522241,100.0,97.0,-3.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
627,2026-06-12T17:40:14+0900,2026-06-12T17:35:11+0900,GBIKE,131411,grid_8122_22777,grid_8124_22782,36.482015,127.259898,36.49176,127.289916,5.05,2894.1191409857465,34.3855739523059,93.0,93.0,0.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
633,2026-06-12T17:40:14+0900,2026-06-12T17:35:11+0900,GBIKE,131750,grid_8130_22775,grid_8127_22779,36.519424,127.252055,36.505045,127.272501,5.05,2428.0274749891137,28.847851187989463,40.0,30.0,-10.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
643,2026-06-12T17:45:08+0900,2026-06-12T17:40:14+0900,GBIKE,130874,grid_8130_22772,grid_8132_22778,36.519671,127.235094,36.529442,127.264297,4.9,2826.626589703553,34.61175415963533,89.0,83.0,-6.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
673,2026-06-12T17:50:08+0900,2026-06-12T17:45:08+0900,GBIKE,131324,grid_8133_22778,grid_8124_22777,36.532359,127.265221,36.490564,127.25912,5.0,4679.268751496264,56.15122501795517,42.0,33.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
724,2026-06-12T18:00:19+0900,2026-06-12T17:55:04+0900,GBIKE,131054,grid_8129_22777,grid_8125_22786,36.514146,127.26286,36.497912,127.309035,5.25,4504.534876095565,51.48039858394931,58.0,47.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
734,2026-06-12T18:00:19+0900,2026-06-12T17:55:04+0900,GBIKE,131612,grid_8130_22776,grid_8123_22775,36.518532,127.257402,36.487179,127.250932,5.25,3533.9324490012887,40.38779941715759,83.0,70.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
750,2026-06-12T18:05:08+0900,2026-06-12T18:00:19+0900,GBIKE,130116,grid_8123_22777,grid_8130_22775,36.488181,127.260646,36.519241,127.249665,4.816666666666666,3590.468068020102,44.725553788485705,79.0,61.0,-18.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
763,2026-06-12T18:05:08+0900,2026-06-12T18:00:19+0900,GBIKE,130603,grid_8125_22775,grid_8131_22772,36.498316,127.25162,36.522352,127.232355,4.816666666666666,3179.262720576621,39.60327264386103,67.0,50.0,-17.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
788,2026-06-12T18:10:09+0900,2026-06-12T18:05:08+0900,GBIKE,130224,grid_8128_22774,grid_8123_22776,36.510731,127.243113,36.489361,127.257916,5.016666666666667,2719.7894085597472,32.529042760183025,86.0,78.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
815,2026-06-12T18:10:09+0900,2026-06-12T18:05:08+0900,GBIKE,501433,grid_8131_22775,grid_8125_22778,36.52199,127.248897,36.495239,127.265104,5.016666666666667,3308.511243217876,39.57023413815401,93.0,88.0,-5.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
838,2026-06-12T18:15:13+0900,2026-06-12T18:10:09+0900,GBIKE,131933,grid_8124_22776,grid_8119_22779,36.491026,127.257371,36.469567,127.274416,5.066666666666666,2831.2636743476623,33.528122459380214,100.0,99.0,-1.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
869,2026-06-12T18:20:08+0900,2026-06-12T18:15:13+0900,GBIKE,501386,grid_8125_22775,grid_8129_22777,36.49495,127.248796,36.514005,127.258988,4.916666666666667,2306.347420698551,28.14525665937215,62.0,58.0,-4.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
882,2026-06-12T18:25:08+0900,2026-06-12T18:20:08+0900,GBIKE,131600,grid_8129_22775,grid_8124_22776,36.512263,127.251441,36.491183,127.257612,5.0,2408.0130119752234,28.896156143702683,62.0,51.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
884,2026-06-12T18:25:08+0900,2026-06-12T18:20:08+0900,GBIKE,131931,grid_8124_22776,grid_8130_22775,36.49381,127.256651,36.516625,127.251326,5.0,2581.171160640098,30.974053927681176,100.0,91.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
893,2026-06-12T18:30:09+0900,2026-06-12T18:25:08+0900,GBIKE,130372,grid_8120_22780,grid_8124_22777,36.473439,127.278647,36.490541,127.25912,5.016666666666667,2581.5096213239244,30.875198128791123,71.0,63.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
897,2026-06-12T18:30:09+0900,2026-06-12T18:25:08+0900,GBIKE,130880,grid_8127_22778,grid_8123_22775,36.505909,127.265194,36.485387,127.248111,5.016666666666667,2745.747864753329,32.839509345886995,48.0,34.0,-14.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
904,2026-06-12T18:30:09+0900,2026-06-12T18:25:08+0900,GBIKE,131379,grid_8127_22775,grid_8122_22777,36.504702,127.250576,36.482343,127.260582,5.016666666666667,2642.2119974771435,31.601206614344576,79.0,72.0,-7.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
912,2026-06-12T18:30:09+0900,2026-06-12T18:25:08+0900,GBIKE,501169,grid_8130_22774,grid_8125_22781,36.517207,127.245454,36.498084,127.281211,5.016666666666667,3838.585589193565,45.909993757796784,87.0,84.0,-3.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
927,2026-06-12T18:35:04+0900,2026-06-12T18:30:09+0900,GBIKE,130511,grid_8129_22775,grid_8124_22776,36.51364,127.250356,36.491398,127.256099,4.916666666666667,2525.9065333816843,30.82462210228496,67.0,61.0,-6.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
936,2026-06-12T18:35:04+0900,2026-06-12T18:30:09+0900,GBIKE,131237,grid_8124_22776,grid_8130_22773,36.493699,127.256592,36.519236,127.23597,4.916666666666667,3385.321994210188,41.31240399714128,100.0,96.0,-4.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
952,2026-06-12T18:40:13+0900,2026-06-12T18:35:04+0900,GBIKE,131038,grid_8127_22774,grid_8123_22777,36.5053,127.24286,36.487845,127.261899,5.15,2581.374065437124,30.07426095654901,92.0,83.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
954,2026-06-12T18:40:13+0900,2026-06-12T18:35:04+0900,GBIKE,131456,grid_8133_22778,grid_8127_22777,36.530561,127.265309,36.505214,127.261325,5.15,2840.855410595512,33.09734458946226,82.0,74.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
969,2026-06-12T18:45:09+0900,2026-06-12T18:40:13+0900,GBIKE,131124,grid_8129_22777,grid_8124_22776,36.51488,127.258659,36.491422,127.256121,4.933333333333334,2618.2563761537363,31.843658628896797,90.0,82.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
1010,2026-06-12T18:55:05+0900,2026-06-12T18:50:05+0900,GBIKE,130244,grid_8127_22773,grid_8124_22777,36.503205,127.23726,36.489858,127.260402,5.0,2545.950175824753,30.55140210989704,62.0,56.0,-6.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
