station_id,station_name,latitude,longitude,parking_bike_count,rack_count,shared_percent
ST-4,102. 망원역 1번출구 앞,37.5556488,126.91062927,16,15,107
ST-5,103. 망원역 2번출구 앞,37.55495071,126.91083527,13,14,93
ST-6,104. 합정역 1번출구 앞,37.55073929,126.91508484,0,13,0
ST-7,105. 합정역 5번출구 앞,37.55000687,126.91482544,2,5,40
ST-8,106. 합정역 7번출구 앞,37.54864502,126.91282654,3,12,25
ST-9,107. 수협 연남동지점,37.55784607,126.91871643,5,10,50
ST-10,108. 서교동 사거리,37.55274582,126.91861725,0,12,0
ST-15,111. 상수역 2번출구 앞,37.54787064,126.92353058,2,10,20
ST-18,113. 홍대입구역 2번출구 앞,37.5574379,126.9238205,1,28,4
ST-20,114. 홍대입구역 8번출구 앞,37.55706024,126.92442322,2,15,13
ST-12,115. 마스타 빌딩 앞,37.55893326,126.92711639,0,15,0
ST-17,117. 홍은사거리,37.59115982,126.94132996,4,23,17
ST-19,118. 광흥창역 2번출구 앞,37.54773331,126.9317627,5,9,56
ST-21,119. 서강나루 공원,37.54520798,126.93146515,14,10,140
ST-22,120. 신수동 사거리,37.54524231,126.93411255,6,5,120
ST-23,121. 마포소방서 앞,37.54976654,126.93317413,8,15,53
ST-24,122. 신성기사식당 앞,37.54745865,126.93837738,8,10,80
ST-25,123. 문화촌 공원,37.59432983,126.9473877,13,20,65
ST-26,124. 서강대 정문 건너편,37.55113983,126.93698883,0,35,0
ST-28,126. 서강대 후문 옆,37.55041122,126.94384766,0,20,0
ST-30,128. 신촌역(2호선) 1번출구 옆,37.55549622,126.93634033,1,19,5
ST-31,129. 신촌역(2호선) 6번출구 옆,37.55505371,126.93756866,0,10,0
ST-32,130. 신촌역(2호선) 7번출구 앞,37.5550499,126.93626404,3,10,30
ST-33,131. 증산2교,37.5841713,126.91110229,34,20,170
ST-35,133. 해담는다리,37.58203125,126.90899658,26,15,173
ST-36,134. 연세로 명물길,37.55789185,126.93807983,2,8,25
ST-37,135. 명물길 원형무대 앞,37.55922699,126.93984222,0,10,0
ST-39,137. 신촌기차역입구 교차로,37.55681229,126.9431839,1,10,10
ST-40,138. 신촌동 제1공영주차장 앞,37.5591774,126.93452454,0,10,0
ST-43,139. 연세대 정문 건너편,37.55986404,126.93441772,1,10,10
ST-41,140. 이화여대 후문,37.560009,126.94073486,0,22,0
ST-42,141. 연대 대운동장 옆,37.56238174,126.93264771,1,10,10
ST-200,142. 아현역 4번출구 앞,37.55720139,126.95566559,0,11,0
ST-201,143. 공덕역 2번출구,37.54464722,126.9500885,7,8,88
ST-203,145. 공덕역 5번출구,37.54425049,126.95163727,27,9,300
ST-204,146. 마포역 2번출구 뒤,37.53993607,126.94582367,11,12,92
ST-205,147. 마포역 4번출구 뒤,37.53927231,126.94591522,8,5,160
ST-206,148. 용강동 주민센터 앞,37.54234695,126.94302368,16,11,145
ST-207,150. 서강대역 2번출구 앞,37.55295563,126.93434143,2,15,13
ST-210,153. 성산2교 사거리,37.56469727,126.91261292,18,10,180
ST-211,154. 마포구청역 ,37.56090927,126.90549469,12,11,109
ST-212,155. 가좌역1 번출구 앞,37.56829453,126.91504669,19,15,127
