rental_datetime,return_datetime,rental_station_id,return_station_id,distance_m,duration_min,bike_type,source_service
2025-10-01 08:00:15,2025-10-01 08:00:23,ST-280,ST-280,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:17,2025-10-01 08:00:28,ST-1329,ST-1329,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:53,2025-10-01 08:01:02,ST-1035,ST-1035,141.85,0,일반자전거,tbCycleRentData
2025-10-01 08:01:15,2025-10-01 08:01:24,ST-2045,ST-2045,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:54,2025-10-01 08:02:00,ST-3331,ST-3331,0.0,1,일반자전거,tbCycleRentData
2025-10-01 08:01:53,2025-10-01 08:02:03,ST-892,ST-892,0.1,0,일반자전거,tbCycleRentData
2025-10-01 08:00:14,2025-10-01 08:02:11,ST-66,ST-62,473.08,1,일반자전거,tbCycleRentData
2025-10-01 08:00:20,2025-10-01 08:02:11,ST-98,ST-1660,111.2,1,일반자전거,tbCycleRentData
2025-10-01 08:02:15,2025-10-01 08:02:23,ST-1968,ST-1968,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:13,2025-10-01 08:02:29,ST-1320,ST-3331,350.43,2,일반자전거,tbCycleRentData
2025-10-01 08:00:00,2025-10-01 08:02:35,ST-413,ST-280,360.0,2,일반자전거,tbCycleRentData
2025-10-01 08:00:17,2025-10-01 08:02:39,ST-349,ST-350,415.46,2,일반자전거,tbCycleRentData
2025-10-01 08:00:13,2025-10-01 08:02:42,ST-1338,ST-2031,472.83,2,일반자전거,tbCycleRentData
2025-10-01 08:01:02,2025-10-01 08:02:42,ST-2737,ST-3372,511.61,1,일반자전거,tbCycleRentData
2025-10-01 08:00:26,2025-10-01 08:02:43,ST-2411,ST-1063,350.32,2,일반자전거,tbCycleRentData
2025-10-01 08:01:59,2025-10-01 08:02:43,ST-2272,ST-2272,40.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:16,2025-10-01 08:02:51,ST-349,ST-350,425.64,2,일반자전거,tbCycleRentData
2025-10-01 08:01:23,2025-10-01 08:02:52,ST-2538,ST-2945,480.9,1,일반자전거,tbCycleRentData
2025-10-01 08:02:45,2025-10-01 08:02:55,ST-1417,ST-1417,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:02:48,2025-10-01 08:02:57,ST-897,ST-897,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:23,2025-10-01 08:02:57,ST-518,ST-3084,0.0,2,일반자전거,tbCycleRentData
2025-10-01 08:00:32,2025-10-01 08:02:57,ST-1681,ST-891,470.0,2,일반자전거,tbCycleRentData
2025-10-01 08:01:08,2025-10-01 08:02:58,ST-2482,ST-824,333.59,1,일반자전거,tbCycleRentData
2025-10-01 08:02:43,2025-10-01 08:03:04,ST-2564,ST-2564,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:14,2025-10-01 08:03:06,ST-349,ST-350,0.0,2,일반자전거,tbCycleRentData
2025-10-01 08:02:59,2025-10-01 08:03:09,ST-2420,ST-2420,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:00,2025-10-01 08:03:13,ST-3365,ST-1067,660.0,3,일반자전거,tbCycleRentData
2025-10-01 08:03:04,2025-10-01 08:03:13,ST-1517,ST-1517,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:53,2025-10-01 08:03:14,ST-2487,ST-3094,253.09,2,일반자전거,tbCycleRentData
2025-10-01 08:03:05,2025-10-01 08:03:21,ST-3215,ST-3215,0.0,0,일반자전거,tbCycleRentData
2025-10-01 08:00:07,2025-10-01 08:03:22,ST-3055,ST-1228,548.65,3,일반자전거,tbCycleRentData
2025-10-01 08:00:34,2025-10-01 08:03:22,ST-873,ST-1963,554.23,2,일반자전거,tbCycleRentData
2025-10-01 08:00:41,2025-10-01 08:03:22,ST-923,ST-2368,684.03,2,일반자전거,tbCycleRentData
2025-10-01 08:01:46,2025-10-01 08:03:25,ST-2253,ST-1479,384.54,1,새싹자전거,tbCycleRentData
2025-10-01 08:00:48,2025-10-01 08:03:26,ST-1370,ST-2738,540.0,2,일반자전거,tbCycleRentData
2025-10-01 08:01:04,2025-10-01 08:03:26,ST-920,ST-1228,417.31,2,일반자전거,tbCycleRentData
2025-10-01 08:00:10,2025-10-01 08:03:27,ST-920,ST-1228,548.65,3,일반자전거,tbCycleRentData
2025-10-01 08:01:38,2025-10-01 08:03:28,ST-280,ST-413,0.0,1,일반자전거,tbCycleRentData
2025-10-01 08:00:23,2025-10-01 08:03:29,ST-288,ST-2822,329.49,3,일반자전거,tbCycleRentData
2025-10-01 08:00:29,2025-10-01 08:03:30,ST-2037,ST-1251,580.0,3,일반자전거,tbCycleRentData
2025-10-01 08:01:35,2025-10-01 08:03:32,ST-2535,ST-2147,230.0,1,일반자전거,tbCycleRentData
