parking_id,gu_name,address,detail_location,has_stand,source_service
1.0,종로구,팔판동 115-63 ,청와대 춘추문 맞은편,Y,parkingKickboard
2.0,종로구,연건동 218-1,KT 광화문 혜화지사 앞,Y,parkingKickboard
3.0,종로구,연건동 178-3 ,홍익대학교 대학로 맞은편,Y,parkingKickboard
4.0,종로구,동승동 1-24,대학로 마로니에 공원 앞,Y,parkingKickboard
5.0,종로구,와룡동 75-4,연악사 맞은편,Y,parkingKickboard
6.0,종로구,명륜4가 96-4,흥사단 동숭 미술관 맞은편,Y,parkingKickboard
7.0,종로구,소격동 165-5,국립현대미술관 ,Y,parkingKickboard
8.0,종로구,신문로1가 5-4 ,새문안교회 앞,Y,parkingKickboard
9.0,종로구,신문로 2가 58,(구)경찰박물관 앞,Y,parkingKickboard
10.0,종로구,무악동 41-7 ,무악현대아파트 앞,Y,parkingKickboard
11.0,종로구,사직동 45-4 ,사직공원 맞은편,Y,parkingKickboard
12.0,종로구,내자동 186-3 ,서울경찰청 민원봉사실 앞,Y,parkingKickboard
13.0,종로구,적선동 8-1 ,경복궁역 4번출구 근처,Y,parkingKickboard
14.0,종로구,세종로 84-8 ,광화문역 2번 출구 근처,Y,parkingKickboard
15.0,종로구,공평동 100-19 ,종각역 2번 출구 근처,Y,parkingKickboard
16.0,종로구,서린동 26-1 ,종각역 5번 출구 근처,Y,parkingKickboard
17.0,종로구,종로2가 84-11 ,YBM 어학원 앞,Y,parkingKickboard
18.0,중구,중구 을지로 178,을지로4가역 9~10번 출구,Y,parkingKickboard
19.0,중구,중구 을지로 2가 206,IBK파이낸스타워 출입구 앞,Y,parkingKickboard
20.0,중구,중구 을지로 42,을지로입구역 7번 출구,Y,parkingKickboard
21.0,중구,중구 을지로 50,을지로입구역 6번 출구,Y,parkingKickboard
22.0,용산구,이태원동 127-6,이태원역 3번출구,Y,parkingKickboard
23.0,용산구,용문동 5-157,효창공원앞역 5번출구,Y,parkingKickboard
24.0,용산구,갈월동 92,남영삼거리 (용산빌딩 앞),Y,parkingKickboard
25.0,용산구,용산구 갈월동 69-29,숙대입구역 10번출구,N,parkingKickboard
26.0,성동구,홍익동 614-1,상왕십리역 1번출구,Y,parkingKickboard
27.0,성동구,성수동1가 656-302,뚝섬역 1번출구,Y,parkingKickboard
28.0,성동구,옥수동 401-1,옥수역 1번출구,Y,parkingKickboard
29.0,성동구,금호동4가 1470-1,금호역 3번출구,Y,parkingKickboard
30.0,성동구,금호동3가 1583,금호역 4번출구,Y,parkingKickboard
31.0,성동구,행당동 산17,한양대역 3번출구,Y,parkingKickboard
32.0,광진구, 자양동 854,자양역 1번출구 인근,N,parkingKickboard
33.0,동대문구,장안동 416-10,창도빌딩 앞(지하철 환풍구 옆 가로등 가로수 사이),N,parkingKickboard
34.0,동대문구,답십리동 497-23,천호대로 257 청계푸르지오시티오피스텔 앞,N,parkingKickboard
35.0,동대문구,신설동 98-32,신설동역 5번출구 뒤 자전거보관대 옆(파리바게트 앞),N,parkingKickboard
36.0,동대문구,휘경동 255-4,회기로 195 셰계주류마켓 앞 보도,N,parkingKickboard
37.0,동대문구,전농동 687,도미노피자 전농점 앞,N,parkingKickboard
38.0,동대문구,전농동 591-53,청량리역광장 서울청년센터 동대문오랑 앞,N,parkingKickboard
39.0,동대문구,이문동 329-1,스타벅스 외대정문점 앞,N,parkingKickboard
40.0,동대문구,전농동 295-53,우리은행 전농동지점 앞,N,parkingKickboard
41.0,동대문구,장안동 307-6,투썸플레이스 장안동 사거리점 앞,N,parkingKickboard
42.0,동대문구,휘경동 267-10,에스오일주유소 앞 따릉이대여소 옆,N,parkingKickboard
43.0,동대문구,전농동 103-340,시티프라자 앞,N,parkingKickboard
44.0,동대문구,용두동 47-1,LG전자베스트샵 주차장 앞 보도,N,parkingKickboard
45.0,동대문구,장안동 368-1,아트몰링 장안점 앞,N,parkingKickboard
46.0,동대문구,전농동 10,베스킨라빈스 전농점 앞,N,parkingKickboard
47.0,중랑구,중화동 73-7,중랑역 2번출구 ,Y,parkingKickboard
48.0,성북구,성북구 석관동 375-54,석계역 7번출구 우측,Y,parkingKickboard
49.0,성북구,성북구 월곡동 37-4,월곡역 3번 출구 좌측,Y,parkingKickboard
50.0,성북구,성북구 종암동 3-1288,종암박스파크 북서측,Y,parkingKickboard
51.0,성북구,길음동 877-66,길음역 3번 출구 뒷편,N,parkingKickboard
52.0,강북구,수유동  230-10,수유역  5번  출구  앞,N,parkingKickboard
53.0,강북구,미아동  125-33,미아역  4번  출구  앞,N,parkingKickboard
54.0,강북구,미아동  134-39,이디야커피 미아중앙점 앞,N,parkingKickboard
55.0,강북구,미아동  160-14,얼맥당  수유점  앞,N,parkingKickboard
56.0,강북구,번동  418-9,수유역  1번  출구  앞,N,parkingKickboard
57.0,강북구,미아동  190-1,아름다운가게  미아점  앞,N,parkingKickboard
58.0,강북구,번동  449-1,롯데시네마  수유관  앞,N,parkingKickboard
59.0,강북구,수유동  183-4,청년치킨  수유점  앞,N,parkingKickboard
60.0,도봉구,창동723-11,창동 메가박스 앞,Y,parkingKickboard
61.0,도봉구,쌍문동 83-4,크로커다일 앞,Y,parkingKickboard
62.0,도봉구,방학동 710,평화도봉공원,Y,parkingKickboard
63.0,노원구,화랑로510,화랑대역 2번출구 앞,N,parkingKickboard
64.0,노원구,공릉로232,서울과학기술대 정문 앞(좌),N,parkingKickboard
65.0,노원구,공릉로232,서울과학기술대 정문 앞(우),N,parkingKickboard
66.0,노원구,동일로 1078,공릉역 1번출구 노랑통닭 앞,N,parkingKickboard
67.0,노원구,하계동 273-3,하계 어린이 공원,N,parkingKickboard
68.0,노원구,동일로 1015,스타벅스 공릉DT점,N,parkingKickboard
69.0,노원구,동일로1308-1,중계역 2번출구,N,parkingKickboard
70.0,노원구,상계동 611-1,노원역 운전면허시험장 사거리(1),N,parkingKickboard
71.0,노원구,상계동 611-1,노원역 운전면허시험장 사거리(2),N,parkingKickboard
72.0,노원구,동일로1530-1,마들역 5번출구,N,parkingKickboard
73.0,노원구,동일로 1673,수락산역 4번출구 파크랜드 앞,N,parkingKickboard
74.0,노원구,동일로 1608,채선당 도시락&샐러드 마들점,N,parkingKickboard
75.0,노원구,동일로1530-1,마들역 8번출구 우리은행 앞,N,parkingKickboard
76.0,노원구,노해로502,KT 노원지사 스타벅스 앞 ,N,parkingKickboard
77.0,노원구,동일로1308-1,중계역 5번출구,N,parkingKickboard
78.0,노원구,상계로301-1,당고개역 뒤 사나포차 앞,N,parkingKickboard
79.0,노원구,월계동 56-5,석계역 광장 따릉이 옆,N,parkingKickboard
80.0,노원구,석계로 98-2,광운대역 앞 스타벅스 앞,N,parkingKickboard
81.0,노원구,동일로 1014,골드퍼피 동물메디컬 센터 앞,N,parkingKickboard
82.0,노원구,동일로1074,공릉역 3번출구 따릉이 옆,N,parkingKickboard
83.0,노원구,동일로1074,공릉역 4번출구 스타벅스 앞,N,parkingKickboard
84.0,노원구,동일로 1114,수협은행 공릉점 앞,N,parkingKickboard
85.0,노원구,동일로1196,하계역 1번출구 인근,N,parkingKickboard
86.0,노원구,동일로1196,하계역 6번출구 따릉이 옆,N,parkingKickboard
87.0,노원구,노해로 507,와우쇼핑몰 앞,N,parkingKickboard
88.0,노원구,동일로1456,온수골 사거리 주공 715동 앞,N,parkingKickboard
89.0,노원구,동일로242길 5 ,수락문 평양칼국수 앞,N,parkingKickboard
90.0,노원구,공릉동 678-1,태릉입구역 1 ~2번출구 현대자동차 앞,N,parkingKickboard
91.0,노원구,중계동 434-1,상계동 뚜레주르 앞,N,parkingKickboard
92.0,노원구,상계로23가길 24,상계중앙시장 앞 따릉이 옆 (상계역삼창프라자건너편),N,parkingKickboard
93.0,노원구,동일로 1662,수락산역 3번출구  르노코리아 상계대리점 앞,N,parkingKickboard
94.0,노원구,중계동 503-3,중계역 4번출구 ,N,parkingKickboard
95.0,노원구,노해로 452,노원역 6번출구 탑티어커피 앞,N,parkingKickboard
96.0,노원구,하계동 284-2,하계역 2번출구,N,parkingKickboard
97.0,노원구,하계동 284-2,하계역 3번출구,N,parkingKickboard
98.0,은평구,은평구 녹번동 282,녹번동 282,N,parkingKickboard
99.0,은평구,은평구 불광동 274-12,불광동 274-12,N,parkingKickboard
100.0,서대문구,서대문구 창천동 30-8 ,2호선신촌역 2번출구,N,parkingKickboard
101.0,마포구,대흥동 105-47,대흥역 1번출구 앞,N,parkingKickboard
102.0,마포구,성산동 592-6,마포구청역 2번출구 앞,N,parkingKickboard
103.0,마포구,아현동 329-15,아현역 4번출구,N,parkingKickboard
104.0,마포구,망원동 377-18,망원역2번출구(이니스프리앞),N,parkingKickboard
105.0,마포구,공덕동255-10,공덕역 5번 출구(엘리베이터앞),N,parkingKickboard
106.0,마포구,창전동 146-6,광흥창역 5번 출구 인근(한국조폐공사앞),N,parkingKickboard
107.0,마포구,노고산동 57-2,신촌역 7번출구 계단뒷편 스파오앞,N,parkingKickboard
108.0,마포구,아현동 607-1,애오개역 4번 출구(화단앞),N,parkingKickboard
109.0,마포구,대흥동 2-6,이대역 5번 출구(화단앞),N,parkingKickboard
110.0,마포구,성산동 266-1,마포구청역 4번 출구(LG전자앞),N,parkingKickboard
111.0,마포구,합정동 472,마포한강푸르지오앞,N,parkingKickboard
112.0,마포구,서교동490,합정역9번출구,N,parkingKickboard
113.0,마포구,서교동490,합정역10번출구,N,parkingKickboard
114.0,마포구,동교동 155-27,효성홍익인간오피스텔 (홍익대입구역3번),N,parkingKickboard
115.0,마포구,동교동 167-29,다이소 (홍익대입구역4번),N,parkingKickboard
116.0,마포구,동교동 166-13,홍익대입구역8번출구,N,parkingKickboard
117.0,양천구,목동동로 151,서울출입국 외국인청 입구,Y,parkingKickboard
118.0,양천구,신정동 322-3,햇빛문고 앞,Y,parkingKickboard
119.0,양천구,신정동 322-4,양천문화회관 앞,Y,parkingKickboard
120.0,양천구,신정동 324-4,한사랑교회 앞,Y,parkingKickboard
121.0,강서구,마곡동 727-1222,발산역 8번 출구,Y,parkingKickboard
122.0,강서구,마곡동 727-1428,마곡역 3번출구,N,parkingKickboard
123.0,강서구,마곡동 728-163,마곡역 6번 출구,Y,parkingKickboard
124.0,강서구,마곡동 721-4,마곡역 5번 출구,Y,parkingKickboard
125.0,강서구,마곡동 799,마곡역 4번 출구,Y,parkingKickboard
126.0,강서구,마곡중앙5로 6,마곡나루역 1번 출구,Y,parkingKickboard
127.0,강서구,마곡중앙5로 6,나루역 2번 출구,Y,parkingKickboard
128.0,강서구,마곡동 767,마곡광장 입구,Y,parkingKickboard
129.0,강서구,마곡동 728-190,마곡나루역 4번 출구,Y,parkingKickboard
130.0,강서구,마곡동 727-1221,발산역 1번 출구/출구 바로 앞 따릉이 거치대 맞은편,Y,parkingKickboard
131.0,강서구,등촌동 673,"발산역 3,4번 출구 사이/출구 사이 엘리베이터 측면",Y,parkingKickboard
132.0,강서구,등촌동 673-1,발산역 4번 출구/자전거 거치대 끝나는 부근,Y,parkingKickboard
133.0,강서구,화곡로 416,가양역 7번출구,N,parkingKickboard
134.0,강서구,등촌동 78-7,가양역 8번 출구 앞,Y,parkingKickboard
135.0,강서구,등촌동 666-2,"가양역 6, 7번 출구 사이",Y,parkingKickboard
136.0,강서구,등촌동 648-4,등촌역 1번 출구,Y,parkingKickboard
137.0,강서구,가양동 449-30,증미역 1번 출구,Y,parkingKickboard
138.0,강서구,가양동 449-30,증미역 2번 출구,Y,parkingKickboard
139.0,강서구,가양동 449-30,"증미역 1,2번 출구 사이",Y,parkingKickboard
