dong_id,x_star_i,total_supply_F
11010530,0,500
11010540,0,500
11010550,0,500
11010560,0,500
11010570,0,500
11010580,0,500
11010600,0,500
11010610,0,500
11010630,0,500
11010640,0,500
11010670,0,500
11010680,0,500
11010690,0,500
11010700,0,500
11010710,0,500
11010720,0,500
11010730,0,500
11020520,0,500
11020540,0,500
11020550,0,500
11020570,0,500
11020580,0,500
11020590,0,500
11020600,0,500
11020650,0,500
11020670,0,500
11020680,0,500
11020690,0,500
11020700,0,500
11020710,0,500
11020720,0,500
11020730,0,500
11030510,0,500
11030520,0,500
11030530,0,500
11030570,0,500
11030580,0,500
11030590,0,500
11030630,0,500
11030640,0,500
11030650,0,500
11030660,0,500
11030690,0,500
11030700,0,500
11030710,0,500
11030720,0,500
11030730,0,500
11030740,0,500
11040520,0,500
11040540,0,500
11040550,0,500
11040560,0,500
11040570,0,500
11040580,0,500
11040590,0,500
11040620,0,500
11040650,0,500
11040660,0,500
11040670,0,500
11040680,0,500
11040690,0,500
11040700,0,500
11040710,0,500
11040720,0,500
11040730,0,500
11050530,0,500
11050540,0,500
11050550,0,500
11050560,0,500
11050570,0,500
11050580,0,500
11050590,0,500
11050600,0,500
11050610,0,500
11050620,0,500
11050630,0,500
11050640,0,500
11050650,0,500
11050660,0,500
11050670,0,500
11060710,0,500
11060720,0,500
11060730,0,500
11060800,0,500
11060810,0,500
11060820,0,500
11060830,0,500
11060840,0,500
11060860,0,500
11060870,0,500
11060880,0,500
11060890,0,500
11060900,0,500
11060910,0,500
11070520,0,500
11070540,0,500
11070550,0,500
11070570,0,500
11070590,0,500
11070600,0,500
11070610,0,500
11070620,0,500
11070640,0,500
11070650,0,500
11070680,0,500
11070690,0,500
11070700,0,500
11070710,0,500
11070720,0,500
11070730,0,500
11080580,0,500
11080590,0,500
11080600,0,500
11080610,0,500
11080620,0,500
11080630,0,500
11080640,0,500
11080650,0,500
11080660,0,500
11080680,0,500
11080710,0,500
11080720,0,500
11080760,0,500
11080770,0,500
11080780,0,500
11080810,0,500
11080820,0,500
11080830,0,500
11080840,0,500
11080850,0,500
11090600,0,500
11090610,0,500
11090620,0,500
11090630,0,500
11090640,0,500
11090650,0,500
11090690,0,500
11090700,0,500
11090710,0,500
11090720,0,500
11090730,0,500
11090740,0,500
11090750,0,500
11100510,0,500
11100520,0,500
11100530,0,500
11100540,0,500
11100550,0,500
11100560,0,500
11100570,0,500
11100590,0,500
11100600,0,500
11100610,0,500
11100620,0,500
11100630,0,500
11100640,0,500
11100650,0,500
11110510,0,500
11110520,0,500
11110530,0,500
11110560,0,500
11110580,0,500
11110590,0,500
11110600,0,500
11110610,0,500
11110640,0,500
11110650,0,500
11110660,0,500
11110690,0,500
11110720,0,500
11110730,0,500
11110740,0,500
11110760,0,500
11110770,0,500
11110780,0,500
11110790,0,500
11120510,0,500
11120520,0,500
11120550,0,500
11120560,0,500
11120570,0,500
11120580,0,500
11120590,0,500
11120600,0,500
11120650,0,500
11120660,0,500
11120670,0,500
11120680,0,500
11120710,0,500
11120720,0,500
11120730,0,500
11120740,0,500
11130520,0,500
11130620,0,500
11130640,0,500
11130650,0,500
11130660,0,500
11130680,0,500
11130690,0,500
11130700,0,500
11130710,0,500
11130720,0,500
11130730,0,500
11130740,0,500
11130750,0,500
11130760,0,500
11140590,0,500
11140600,0,500
11140610,0,500
11140630,0,500
11140660,0,500
11140680,0,500
11140690,0,500
11140700,0,500
11140710,0,500
11140720,0,500
11140730,0,500
11140740,0,500
11140750,0,500
11140760,0,500
11140770,0,500
11140780,0,500
11150510,0,500
11150520,0,500
11150530,0,500
11150540,0,500
11150570,0,500
11150580,0,500
11150590,0,500
11150600,0,500
11150610,0,500
11150620,0,500
11150630,0,500
11150640,0,500
11150650,0,500
11150660,0,500
11150690,0,500
11150700,0,500
11150710,0,500
11150720,0,500
11160510,0,500
11160520,0,500
11160530,0,500
11160540,0,500
11160550,0,500
11160570,0,500
11160580,0,500
11160590,0,500
11160610,0,500
11160630,0,500
11160751,0,500
11160650,0,500
11160660,0,500
11160670,0,500
11160690,0,500
11160700,0,500
11160710,0,500
11160761,0,500
11160730,0,500
11160740,0,500
11170510,0,500
11170520,0,500
11170540,0,500
11170550,0,500
11170560,0,500
11170610,0,500
11170620,0,500
11170640,0,500
11170650,0,500
11170670,0,500
11170740,0,500
11170690,0,500
11170700,0,500
11170710,0,500
11170720,0,500
11180510,0,500
11180520,0,500
11180530,0,500
11180540,0,500
11180550,0,500
11180570,0,500
11180580,0,500
11180590,0,500
11180600,0,500
11180610,0,500
11190540,0,500
11190550,0,500
11190560,0,500
11190610,0,500
11190620,0,500
11190630,0,500
11190650,0,500
11190660,0,500
11190670,0,500
11190680,0,500
11190690,0,500
11190700,0,500
11190710,0,500
11190720,0,500
11190730,0,500
11190740,3,500
11190750,0,500
11190760,2,500
11200520,0,500
11200530,0,500
11200540,0,500
11200550,0,500
11200560,0,500
11200630,0,500
11200650,0,500
11200660,0,500
11200670,0,500
11200680,0,500
11200690,0,500
11200700,0,500
11200710,0,500
11200720,0,500
11200730,0,500
11210520,0,500
11210540,0,500
11210570,0,500
11210580,0,500
11210610,0,500
11210620,0,500
11210630,0,500
11210640,0,500
11210650,0,500
11210660,0,500
11210680,0,500
11210690,0,500
11210710,0,500
11210720,0,500
11210730,0,500
11210780,0,500
11210790,0,500
11210800,0,500
11210810,0,500
11210820,0,500
11210830,0,500
11220510,0,500
11220520,0,500
11220530,0,500
11220540,0,500
11220550,0,500
11220560,0,500
11220570,0,500
11220580,0,500
11220590,0,500
11220600,0,500
11220610,0,500
11220620,0,500
11220630,0,500
11220640,0,500
11220650,0,500
11220660,0,500
11220670,0,500
11220680,0,500
11230510,0,500
11230520,0,500
11230530,0,500
11230580,0,500
11230590,0,500
11230600,0,500
11230630,0,500
11230640,0,500
11230650,0,500
11230660,0,500
11230670,0,500
11230680,0,500
11230710,0,500
11230720,0,500
11230730,0,500
11230511,0,500
11230750,0,500
11230760,0,500
11230770,0,500
11230780,0,500
11230790,0,500
11230800,0,500
11240510,0,500
11240520,0,500
11240530,0,500
11240540,0,500
11240550,0,500
11240560,0,500
11240570,0,500
11240580,0,500
11240590,0,500
11240600,0,500
11240610,0,500
11240620,0,500
11240630,0,500
11240640,0,500
11240650,0,500
11240660,0,500
11240670,0,500
11240680,0,500
11240690,0,500
11240710,0,500
11240750,0,500
11240770,0,500
11240780,0,500
11240790,0,500
11240800,0,500
11240810,0,500
11240820,0,500
11250770,0,500
11250760,0,500
11250530,0,500
11250540,0,500
11250550,0,500
11250560,0,500
11250580,0,500
11250590,0,500
11250610,0,500
11250630,0,500
11250650,0,500
11250660,0,500
11250670,0,500
11250700,0,500
11250710,0,500
11250720,0,500
11250730,0,500
11250740,0,500
11170730,0,500
11250750,0,500
