scenario_day,dong_id,H_is,departures_is,avg_distance_km_i,arrivals_is
2025-10-01,11010530,21.0,21.0,1.238697142857143,20.0
2025-10-01,11010540,4.0,4.0,1.3864075,3.0
2025-10-01,11010550,0.0,0.0,1.2999068057022174,2.0
2025-10-01,11010560,2.0,2.0,0.966375,0.0
2025-10-01,11010570,5.0,5.0,1.364692,2.0
2025-10-01,11010580,5.0,5.0,1.643994,5.0
2025-10-01,11010600,5.0,5.0,1.1759080000000002,6.0
2025-10-01,11010610,31.0,31.0,1.2927264516129031,49.0
2025-10-01,11010630,16.0,16.0,1.0202625,21.0
2025-10-01,11010640,17.0,17.0,1.2523117647058823,14.0
2025-10-01,11010670,6.0,6.0,2.03347,9.0
2025-10-01,11010690,4.0,4.0,1.45425,1.0
2025-10-01,11010700,10.0,10.0,1.275865,7.0
2025-10-01,11010710,16.0,16.0,1.170075625,12.0
2025-10-01,11010720,3.0,3.0,1.05144,4.0
2025-10-01,11010730,17.0,17.0,1.436539411764706,10.0
2025-10-01,11020520,21.0,21.0,1.0291285714285714,20.0
2025-10-01,11020540,14.0,14.0,1.0338321428571429,23.0
2025-10-01,11020550,25.0,25.0,1.1872872,18.0
2025-10-01,11020570,2.0,2.0,1.09222,3.0
2025-10-01,11020580,3.0,3.0,1.1052199999999999,3.0
2025-10-01,11020590,12.0,12.0,1.3656241666666666,7.0
2025-10-01,11020600,13.0,13.0,1.1294915384615385,15.0
2025-10-01,11020650,1.0,1.0,1.10299,0.0
2025-10-01,11020670,8.0,8.0,1.64429875,6.0
2025-10-01,11020680,7.0,7.0,1.057602857142857,6.0
2025-10-01,11020690,7.0,7.0,1.3374971428571427,10.0
2025-10-01,11020700,2.0,2.0,0.920615,2.0
2025-10-01,11020710,1.0,1.0,0.7453200000000001,2.0
2025-10-01,11020730,0.0,0.0,1.2999068057022174,2.0
2025-10-01,11030510,2.0,2.0,1.932475,3.0
2025-10-01,11030520,3.0,3.0,1.3147966666666666,3.0
2025-10-01,11030530,11.0,11.0,1.3119872727272728,8.0
2025-10-01,11030570,14.0,14.0,1.3313692857142858,6.0
2025-10-01,11030580,1.0,1.0,0.72864,0.0
2025-10-01,11030590,5.0,5.0,0.93697,7.0
2025-10-01,11030630,2.0,2.0,1.3539050000000001,5.0
2025-10-01,11030640,7.0,7.0,1.3805214285714287,2.0
2025-10-01,11030650,0.0,0.0,1.2999068057022174,1.0
2025-10-01,11030690,4.0,4.0,1.7568000000000001,3.0
2025-10-01,11030710,3.0,3.0,1.3645666666666667,6.0
2025-10-01,11030720,4.0,4.0,0.7536875,10.0
2025-10-01,11030730,22.0,22.0,1.3580772727272727,31.0
2025-10-01,11030740,1.0,1.0,1.91709,0.0
2025-10-01,11040520,5.0,5.0,0.7522019999999999,1.0
2025-10-01,11040540,22.0,22.0,1.4694863636363635,10.0
2025-10-01,11040550,9.0,9.0,1.376768888888889,6.0
2025-10-01,11040560,7.0,7.0,1.5110871428571429,14.0
2025-10-01,11040570,1.0,1.0,1.17372,0.0
2025-10-01,11040580,2.0,2.0,1.733235,1.0
2025-10-01,11040650,17.0,17.0,1.1892247058823529,13.0
2025-10-01,11040660,16.0,16.0,1.216185,20.0
2025-10-01,11040670,4.0,4.0,1.2056749999999998,7.0
2025-10-01,11040680,44.0,44.0,1.3132022727272727,61.0
2025-10-01,11040690,22.0,22.0,1.3412463636363636,10.0
2025-10-01,11040700,18.0,18.0,1.5412527777777778,21.0
2025-10-01,11040710,18.0,18.0,1.0455233333333334,24.0
2025-10-01,11040730,1.0,1.0,2.58544,1.0
2025-10-01,11050530,31.0,31.0,1.2631903225806453,50.0
2025-10-01,11050540,35.0,35.0,1.3160288571428573,32.0
2025-10-01,11050550,2.0,2.0,1.671285,5.0
2025-10-01,11050570,4.0,4.0,1.32521,1.0
2025-10-01,11050580,0.0,0.0,1.2999068057022174,1.0
2025-10-01,11050590,31.0,31.0,1.504421612903226,28.0
2025-10-01,11050600,15.0,15.0,0.995614,6.0
2025-10-01,11050610,15.0,15.0,1.5371906666666666,13.0
2025-10-01,11050620,17.0,17.0,1.6193211764705882,15.0
2025-10-01,11050630,3.0,3.0,1.613476666666667,15.0
2025-10-01,11050640,34.0,34.0,1.4536367647058823,23.0
2025-10-01,11050650,51.0,51.0,1.1707964705882352,24.0
2025-10-01,11050660,39.0,39.0,1.3720033333333335,63.0
2025-10-01,11050670,21.0,21.0,0.9647895238095239,21.0
2025-10-01,11060710,2.0,2.0,2.443845,3.0
2025-10-01,11060720,1.0,1.0,1.2053099999999999,2.0
2025-10-01,11060730,9.0,9.0,1.4666955555555556,12.0
2025-10-01,11060800,11.0,11.0,1.1087845454545455,10.0
2025-10-01,11060810,56.0,56.0,1.3514373214285715,42.0
2025-10-01,11060820,8.0,8.0,1.14609375,3.0
2025-10-01,11060830,11.0,11.0,0.9564127272727273,13.0
2025-10-01,11060840,9.0,9.0,1.56576,8.0
2025-10-01,11060860,11.0,11.0,1.6410781818181819,7.0
2025-10-01,11060870,26.0,26.0,1.1211061538461538,20.0
2025-10-01,11060880,12.0,12.0,1.4428075,16.0
2025-10-01,11060890,5.0,5.0,1.051936,7.0
2025-10-01,11060900,5.0,5.0,1.094424,2.0
2025-10-01,11060910,17.0,17.0,1.3663788235294116,27.0
2025-10-01,11070520,5.0,5.0,1.27012,5.0
2025-10-01,11070540,1.0,1.0,1.22665,1.0
2025-10-01,11070550,7.0,7.0,1.494837142857143,15.0
2025-10-01,11070570,4.0,4.0,1.1775825,0.0
2025-10-01,11070590,9.0,9.0,1.462628888888889,28.0
2025-10-01,11070600,23.0,23.0,1.3346473913043477,37.0
2025-10-01,11070610,8.0,8.0,1.17721625,11.0
2025-10-01,11070620,11.0,11.0,0.9954963636363636,16.0
2025-10-01,11070640,12.0,12.0,1.5928566666666668,19.0
2025-10-01,11070650,11.0,11.0,1.4015481818181819,5.0
2025-10-01,11070680,2.0,2.0,0.9970699999999999,3.0
2025-10-01,11070690,27.0,27.0,1.2514548148148148,10.0
2025-10-01,11070700,9.0,9.0,1.493772222222222,0.0
2025-10-01,11070710,14.0,14.0,1.2646357142857145,10.0
2025-10-01,11070720,16.0,16.0,1.2980862499999999,11.0
2025-10-01,11070730,30.0,30.0,0.9919516666666667,9.0
2025-10-01,11080580,1.0,1.0,0.84445,2.0
2025-10-01,11080600,26.0,26.0,1.3207723076923077,29.0
2025-10-01,11080610,1.0,1.0,2.08509,0.0
2025-10-01,11080620,1.0,1.0,1.71,2.0
2025-10-01,11080630,0.0,0.0,1.2999068057022174,1.0
2025-10-01,11080640,1.0,1.0,2.12786,0.0
2025-10-01,11080650,1.0,1.0,1.35,0.0
2025-10-01,11080660,3.0,3.0,0.9871733333333333,3.0
2025-10-01,11080680,4.0,4.0,1.13008,1.0
2025-10-01,11080710,11.0,11.0,1.3376672727272727,11.0
2025-10-01,11080720,11.0,11.0,1.296199090909091,12.0
2025-10-01,11080760,1.0,1.0,1.8037999999999998,2.0
2025-10-01,11080780,5.0,5.0,1.271866,7.0
2025-10-01,11080810,3.0,3.0,1.7819166666666666,4.0
2025-10-01,11080820,7.0,7.0,1.1525057142857145,9.0
2025-10-01,11080830,2.0,2.0,1.4406700000000001,6.0
2025-10-01,11080840,8.0,8.0,1.2194337499999999,9.0
2025-10-01,11080850,10.0,10.0,1.1898620000000002,13.0
2025-10-01,11090600,8.0,8.0,1.414035,6.0
2025-10-01,11090610,3.0,3.0,0.9050133333333333,2.0
2025-10-01,11090620,3.0,3.0,1.1565899999999998,9.0
2025-10-01,11090630,0.0,0.0,1.2999068057022174,3.0
2025-10-01,11090640,8.0,8.0,1.3046674999999999,1.0
2025-10-01,11090650,9.0,9.0,1.4539944444444446,10.0
2025-10-01,11090700,2.0,2.0,1.507155,4.0
2025-10-01,11090710,3.0,3.0,1.2078133333333334,2.0
2025-10-01,11090720,3.0,3.0,1.1576766666666665,4.0
2025-10-01,11090730,1.0,1.0,1.25,0.0
2025-10-01,11090740,3.0,3.0,1.6330799999999999,2.0
2025-10-01,11090750,11.0,11.0,1.229511818181818,5.0
2025-10-01,11100510,2.0,2.0,2.17619,5.0
2025-10-01,11100520,2.0,2.0,1.225635,7.0
2025-10-01,11100530,1.0,1.0,1.0788,3.0
2025-10-01,11100540,4.0,4.0,1.05426,1.0
2025-10-01,11100550,27.0,27.0,1.8159333333333334,13.0
2025-10-01,11100560,3.0,3.0,1.4417599999999997,5.0
2025-10-01,11100570,1.0,1.0,1.52324,2.0
2025-10-01,11100590,4.0,4.0,1.160765,7.0
2025-10-01,11100600,9.0,9.0,1.2607366666666666,6.0
2025-10-01,11100610,2.0,2.0,1.163185,2.0
2025-10-01,11100620,19.0,19.0,1.0271168421052632,15.0
2025-10-01,11100630,9.0,9.0,1.5758044444444446,7.0
2025-10-01,11100640,9.0,9.0,1.2657866666666666,16.0
2025-10-01,11100650,5.0,5.0,0.989424,13.0
2025-10-01,11110510,12.0,12.0,1.3539091666666667,10.0
2025-10-01,11110520,12.0,12.0,1.4020616666666665,9.0
2025-10-01,11110530,9.0,9.0,1.08578,8.0
2025-10-01,11110560,13.0,13.0,1.2085792307692307,13.0
2025-10-01,11110580,20.0,20.0,1.4191235,12.0
2025-10-01,11110590,8.0,8.0,1.4070624999999999,7.0
2025-10-01,11110600,14.0,14.0,1.751644285714286,5.0
2025-10-01,11110610,38.0,38.0,1.2549102631578948,35.0
2025-10-01,11110640,5.0,5.0,1.2811020000000002,7.0
2025-10-01,11110650,23.0,23.0,1.442597391304348,6.0
2025-10-01,11110660,13.0,13.0,1.2333476923076923,28.0
2025-10-01,11110690,12.0,12.0,1.027605,10.0
2025-10-01,11110720,12.0,12.0,1.4036966666666668,15.0
2025-10-01,11110730,8.0,8.0,1.4787724999999998,8.0
