hour,hour_label,demand,served,unmet,service_rate,inventory_start,inventory_end
4,04:00-05:00,19,19,0,1.0,4168,4168
5,05:00-06:00,34,34,0,1.0,4168,4168
6,06:00-07:00,48,48,0,1.0,4168,4168
7,07:00-08:00,65,65,0,1.0,4168,4168
8,08:00-09:00,173,173,0,1.0,4168,4168
9,09:00-10:00,144,142,2,0.9861111111111112,4168,4168
10,10:00-11:00,94,92,2,0.9787234042553191,4168,4168
11,11:00-12:00,146,145,1,0.9931506849315068,4168,4168
12,12:00-13:00,102,101,1,0.9901960784313726,4168,4168
13,13:00-14:00,139,135,4,0.9712230215827338,4168,4168
14,14:00-15:00,104,104,0,1.0,4168,4168
15,15:00-16:00,241,238,3,0.9875518672199171,4168,4168
16,16:00-17:00,219,218,1,0.9954337899543378,4168,4168
17,17:00-18:00,211,210,1,0.995260663507109,4168,4168
18,18:00-19:00,190,188,2,0.9894736842105263,4168,4168
19,19:00-20:00,186,185,1,0.9946236559139785,4168,4168
20,20:00-21:00,150,149,1,0.9933333333333333,4168,4168
21,21:00-22:00,165,163,2,0.9878787878787879,4168,4168
22,22:00-23:00,219,214,5,0.9771689497716894,4168,4168
23,23:00-00:00,207,207,0,1.0,4168,4168
0,00:00-01:00,117,115,2,0.9829059829059829,4168,4168
1,01:00-02:00,74,74,0,1.0,4168,4168
2,02:00-03:00,50,50,0,1.0,4168,4168
3,03:00-04:00,66,66,0,1.0,4168,4168
