hour,hour_label,zone_id,demand,served,shortage,available_at_hour_start,inventory_after_departures
4,04:00-05:00,grid_8124_22777,4,3,1,3,0
5,05:00-06:00,grid_8124_22777,2,1,1,1,0
6,06:00-07:00,grid_8130_22772,1,0,1,0,0
7,07:00-08:00,grid_8124_22777,4,1,3,1,0
7,07:00-08:00,grid_8125_22777,2,1,1,1,0
7,07:00-08:00,grid_8121_22782,1,0,1,0,0
8,08:00-09:00,grid_8129_22777,4,2,2,2,0
8,08:00-09:00,grid_8124_22776,8,4,4,4,0
8,08:00-09:00,grid_8122_22775,4,3,1,3,0
8,08:00-09:00,grid_8121_22775,4,2,2,2,0
8,08:00-09:00,grid_8128_22774,6,2,4,2,0
8,08:00-09:00,grid_8130_22775,7,5,2,5,0
8,08:00-09:00,grid_8128_22775,4,3,1,3,0
8,08:00-09:00,grid_8124_22777,4,2,2,2,0
8,08:00-09:00,grid_8127_22773,5,1,4,1,0
8,08:00-09:00,grid_8121_22782,5,3,2,3,0
8,08:00-09:00,grid_8123_22777,4,2,2,2,0
8,08:00-09:00,grid_8125_22774,6,3,3,3,0
8,08:00-09:00,grid_8130_22772,2,1,1,1,0
8,08:00-09:00,grid_8125_22777,3,0,3,0,0
8,08:00-09:00,grid_8127_22774,3,1,2,1,0
8,08:00-09:00,grid_8120_22783,2,0,2,0,0
8,08:00-09:00,grid_8119_22776,1,0,1,0,0
9,09:00-10:00,grid_8150_22782,16,14,2,14,0
9,09:00-10:00,grid_8124_22776,3,1,2,1,0
9,09:00-10:00,grid_8121_22775,3,1,2,1,0
9,09:00-10:00,grid_8128_22774,3,1,2,1,0
9,09:00-10:00,grid_8130_22775,2,0,2,0,0
9,09:00-10:00,grid_8122_22775,2,0,2,0,0
9,09:00-10:00,grid_8124_22777,3,0,3,0,0
9,09:00-10:00,grid_8127_22774,4,2,2,2,0
9,09:00-10:00,grid_8125_22774,5,1,4,1,0
9,09:00-10:00,grid_8121_22782,1,0,1,0,0
9,09:00-10:00,grid_8129_22777,9,3,6,3,0
9,09:00-10:00,grid_8126_22774,5,0,5,0,0
9,09:00-10:00,grid_8130_22772,1,0,1,0,0
9,09:00-10:00,grid_8126_22773,2,1,1,1,0
10,10:00-11:00,grid_8129_22777,7,2,5,2,0
10,10:00-11:00,grid_8150_22782,6,5,1,5,0
10,10:00-11:00,grid_8124_22776,5,2,3,2,0
10,10:00-11:00,grid_8122_22775,2,1,1,1,0
10,10:00-11:00,grid_8127_22774,4,1,3,1,0
10,10:00-11:00,grid_8121_22782,3,2,1,2,0
10,10:00-11:00,grid_8130_22775,1,0,1,0,0
10,10:00-11:00,grid_8123_22778,2,0,2,0,0
10,10:00-11:00,grid_8121_22775,2,0,2,0,0
10,10:00-11:00,grid_8128_22775,2,1,1,1,0
10,10:00-11:00,grid_8130_22773,2,1,1,1,0
10,10:00-11:00,grid_8123_22784,1,0,1,0,0
11,11:00-12:00,grid_8129_22777,10,3,7,3,0
11,11:00-12:00,grid_8128_22775,4,2,2,2,0
11,11:00-12:00,grid_8124_22777,3,2,1,2,0
11,11:00-12:00,grid_8128_22774,5,2,3,2,0
11,11:00-12:00,grid_8130_22773,3,2,1,2,0
11,11:00-12:00,grid_8126_22775,4,1,3,1,0
11,11:00-12:00,grid_8130_22775,2,1,1,1,0
11,11:00-12:00,grid_8121_22782,2,1,1,1,0
11,11:00-12:00,grid_8127_22774,1,0,1,0,0
11,11:00-12:00,grid_8121_22776,1,0,1,0,0
11,11:00-12:00,grid_8130_22772,1,0,1,0,0
11,11:00-12:00,grid_8125_22774,3,0,3,0,0
11,11:00-12:00,grid_8127_22778,1,0,1,0,0
11,11:00-12:00,grid_8126_22770,1,0,1,0,0
12,12:00-13:00,grid_8126_22775,10,5,5,5,0
12,12:00-13:00,grid_8127_22775,7,3,4,3,0
12,12:00-13:00,grid_8122_22775,2,1,1,1,0
12,12:00-13:00,grid_8127_22774,3,1,2,1,0
12,12:00-13:00,grid_8130_22772,2,0,2,0,0
12,12:00-13:00,grid_8125_22776,3,2,1,2,0
12,12:00-13:00,grid_8128_22777,5,2,3,2,0
12,12:00-13:00,grid_8124_22777,2,1,1,1,0
12,12:00-13:00,grid_8126_22774,2,1,1,1,0
12,12:00-13:00,grid_8133_22788,3,0,3,0,0
12,12:00-13:00,grid_8133_22796,1,0,1,0,0
12,12:00-13:00,grid_8133_22789,1,0,1,0,0
12,12:00-13:00,grid_8132_22788,1,0,1,0,0
13,13:00-14:00,grid_8124_22774,5,4,1,4,0
13,13:00-14:00,grid_8125_22774,3,1,2,1,0
13,13:00-14:00,grid_8125_22776,3,1,2,1,0
13,13:00-14:00,grid_8130_22772,1,0,1,0,0
13,13:00-14:00,grid_8121_22775,2,1,1,1,0
13,13:00-14:00,grid_8126_22774,1,0,1,0,0
13,13:00-14:00,grid_8130_22771,1,0,1,0,0
14,14:00-15:00,grid_8129_22777,13,6,7,6,0
14,14:00-15:00,grid_8125_22776,10,2,8,2,0
14,14:00-15:00,grid_8121_22776,5,3,2,3,0
14,14:00-15:00,grid_8122_22777,4,1,3,1,0
14,14:00-15:00,grid_8127_22773,5,1,4,1,0
14,14:00-15:00,grid_8125_22774,5,3,2,3,0
14,14:00-15:00,grid_8130_22773,4,2,2,2,0
14,14:00-15:00,grid_8130_22772,1,0,1,0,0
14,14:00-15:00,grid_8128_22772,2,1,1,1,0
14,14:00-15:00,grid_8127_22774,4,3,1,3,0
14,14:00-15:00,grid_8124_22775,1,0,1,0,0
14,14:00-15:00,grid_8133_22790,1,0,1,0,0
15,15:00-16:00,grid_8125_22776,8,4,4,4,0
15,15:00-16:00,grid_8127_22775,3,2,1,2,0
15,15:00-16:00,grid_8128_22772,5,1,4,1,0
15,15:00-16:00,grid_8127_22774,3,2,1,2,0
15,15:00-16:00,grid_8124_22774,10,2,8,2,0
15,15:00-16:00,grid_8121_22782,8,6,2,6,0
15,15:00-16:00,grid_8127_22773,5,2,3,2,0
15,15:00-16:00,grid_8130_22772,3,1,2,1,0
15,15:00-16:00,grid_8121_22775,3,2,1,2,0
15,15:00-16:00,grid_8125_22777,3,2,1,2,0
15,15:00-16:00,grid_8121_22776,5,3,2,3,0
15,15:00-16:00,grid_8130_22773,3,1,2,1,0
15,15:00-16:00,grid_8125_22774,5,0,5,0,0
15,15:00-16:00,grid_8126_22774,2,0,2,0,0
15,15:00-16:00,grid_8127_22770,1,0,1,0,0
15,15:00-16:00,grid_8122_22781,1,0,1,0,0
16,16:00-17:00,grid_8129_22778,7,5,2,5,0
16,16:00-17:00,grid_8125_22775,11,7,4,7,0
16,16:00-17:00,grid_8122_22775,8,6,2,6,0
16,16:00-17:00,grid_8125_22776,10,4,6,4,0
16,16:00-17:00,grid_8127_22775,8,3,5,3,0
16,16:00-17:00,grid_8128_22777,3,2,1,2,0
16,16:00-17:00,grid_8130_22775,4,1,3,1,0
16,16:00-17:00,grid_8124_22774,4,1,3,1,0
16,16:00-17:00,grid_8122_22777,5,4,1,4,0
